id,first_name,last_name,email,transaction_date,transaction_amount,financial_advisor,investment_return,client_country,account_number,client_phone,loan_amount,credit_score,interest_rate
32,Brody,Fewster,bfewsterv@tripadvisor.com,12/12/2023,$535.00,Brody Fewster,$471.24,Sudan,23204,296-955-1224,$603.67,750,2.1
33,Addie,Haddock,ahaddockw@latimes.com,11/1/2024,$998.13,Addie Haddock,$296.76,Malaysia,34445,791-581-7630,$479.85,624,7.0
34,Saraann,Ansell,sansellx@tuttocitta.it,7/6/2024,$934.61,Saraann Ansell,$504.33,China,37666,730-511-2842,$264.66,766,6.2
35,Datha,Tackes,dtackesy@prweb.com,9/6/2024,$124.50,Datha Tackes,$43.13,Norway,66943,933-759-8505,$903.81,955,3.0
36,Renaud,Haig,rhaigz@house.gov,12/16/2023,$383.03,Renaud Haig,$920.21,Malaysia,19626,602-496-0505,$717.24,622,3.8
37,Miguel,Tompkiss,mtompkiss10@who.int,5/3/2024,$292.07,Miguel Tompkiss,$863.24,Portugal,38919,702-297-2980,$151.52,951,7.7
38,Gill,Snow,gsnow11@thetimes.co.uk,7/26/2024,$793.54,Gill Snow,$252.51,Indonesia,51311,682-922-4810,$939.48,755,9.9
39,Stepha,Ilsley,silsley12@webnode.com,12/10/2023,$328.45,Stepha Ilsley,$460.51,Indonesia,86262,882-583-7943,$859.36,960,7.1
40,Guilbert,Sails,gsails13@nba.com,11/29/2024,$781.11,Guilbert Sails,$482.62,Indonesia,85170,486-560-0743,$216.65,804,9.3
41,Bethanne,Grasha,bgrasha14@addtoany.com,9/5/2024,$679.59,Bethanne Grasha,$940.29,Indonesia,69941,798-187-7267,$424.50,503,8.2
42,Glynis,Skittrall,gskittrall15@ycombinator.com,12/5/2023,$813.09,Glynis Skittrall,$203.37,Philippines,85386,168-840-9222,$604.42,890,12.5
43,Brianne,Demeza,bdemeza16@reddit.com,11/18/2024,$312.28,Brianne Demeza,$391.62,Cayman Islands,40020,165-205-2522,$820.46,632,11.8
44,Terry,Esilmon,tesilmon17@tamu.edu,10/11/2024,$523.18,Terry Esilmon,$366.19,China,14862,454-834-9727,$777.87,500,6.1
45,Petunia,Spikings,pspikings18@sina.com.cn,2/1/2024,$963.12,Petunia Spikings,$369.88,Poland,34727,637-449-1598,$227.56,696,11.6
46,Cassie,Striker,cstriker19@barnesandnoble.com,7/30/2024,$583.39,Cassie Striker,$516.97,Philippines,23104,264-203-8057,$767.50,861,2.5
47,Elmer,Gratton,egratton1a@usgs.gov,8/21/2024,$896.86,Elmer Gratton,$202.09,Japan,52315,479-859-8363,$115.16,675,11.2
48,Sheffy,Truran,struran1b@last.fm,5/9/2024,$768.15,Sheffy Truran,$711.34,Sweden,17639,668-119-8484,$570.03,583,11.6
49,Ivor,Yesinov,iyesinov1c@drupal.org,10/8/2024,$828.22,Ivor Yesinov,$251.32,Indonesia,62038,433-910-0278,$980.30,809,4.8
50,Welsh,Sole,wsole1d@dailymotion.com,3/31/2024,$939.71,Welsh Sole,$832.65,Colombia,58914,504-989-7430,$325.24,766,5.7
