transaction_id,first_name,last_name,email_id,transaction_date,transaction_amount,financial_manager,investment_return,country,account_number,phone,loan_amount,credit_score,interest_rate,account_holder_age,balance
26,Jenna,Versey,jverseyp@163.com,11/12/2024,$35.83,Jenna Versey,$631.95,Thailand,69548,170-805-6583,$345.08,861,12.5,30,1010
27,Marlow,Moan,mmoanq@mail.ru,4/3/2024,$873.24,Marlow Moan,$706.84,Germany,74684,499-376-4750,$444.57,576,6.5,25,9483
28,Priscella,MacLennan,pmaclennanr@fema.gov,11/19/2024,$862.75,Priscella MacLennan,$435.77,Bosnia and Herzegovina,27494,665-259-2834,$706.13,800,6.5,39,6102
29,Josias,Corriea,jcorrieas@posterous.com,4/28/2024,$490.41,Josias Corriea,$872.63,Luxembourg,16709,117-836-1542,$160.72,784,6.5,31,4448
30,Sada,Dorkens,sdorkenst@ebay.com,12/11/2023,$744.81,Sada Dorkens,$767.43,France,47605,401-196-4940,$504.93,948,4.0,62,2073
31,Bertina,McClinton,bmcclintonu@adobe.com,9/21/2024,$710.15,Bertina McClinton,$50.60,China,43346,166-521-4710,$376.04,997,10.7,68,5905
32,Ange,Iuorio,aiuoriov@phoca.cz,4/3/2024,$908.69,Ange Iuorio,$933.00,Togo,21030,836-902-9851,$432.73,847,3.3,69,7474
33,Gayler,Scoines,gscoinesw@webmd.com,2/27/2024,$904.97,Gayler Scoines,$24.57,Russia,15675,464-966-2782,$754.67,515,3.0,47,9230
34,Melisa,Dunseath,mdunseathx@imdb.com,10/25/2024,$976.11,Melisa Dunseath,$920.73,Czech Republic,61897,511-803-9627,$655.03,848,4.4,56,9174
35,Yalonda,Clayborn,yclayborny@tamu.edu,11/16/2024,$880.27,Yalonda Clayborn,$922.21,Argentina,35887,218-209-3833,$883.49,905,3.4,23,3436
36,Agnola,Mabson,amabsonz@yelp.com,9/16/2024,$63.52,Agnola Mabson,$418.38,New Zealand,17769,991-561-1232,$346.14,745,10.3,48,2756
37,Justine,Stoneham,jstoneham10@usatoday.com,3/29/2024,$501.42,Justine Stoneham,$496.06,Portugal,12414,128-499-8222,$620.19,725,11.7,47,2834
38,Dina,de Tocqueville,dde11@wordpress.com,8/18/2024,$995.62,Dina de Tocqueville,$247.34,Peru,53523,217-465-5321,$944.92,990,8.6,52,8365
39,Zorine,Kelston,zkelston12@adobe.com,9/25/2024,$121.11,Zorine Kelston,$627.17,China,86541,678-485-0733,$720.72,609,4.9,22,8330
40,Iver,Wanek,iwanek13@tumblr.com,11/28/2024,$788.70,Iver Wanek,$419.60,Serbia,66273,136-528-3213,$968.77,967,3.1,47,8075
41,Forster,Williscroft,fwilliscroft14@ocn.ne.jp,8/28/2024,$499.64,Forster Williscroft,$726.21,Peru,89473,354-703-0013,$800.19,590,11.9,59,2846
42,Graeme,Hebditch,ghebditch15@ihg.com,1/17/2024,$129.87,Graeme Hebditch,$994.87,Portugal,39780,831-388-4648,$270.84,511,7.8,53,2837
43,Chad,Miskimmon,cmiskimmon16@imageshack.us,2/16/2024,$737.56,Chad Miskimmon,$106.93,Colombia,51353,171-435-6037,$364.17,671,8.9,36,1855
44,Hubie,Jopke,hjopke17@discovery.com,4/18/2024,$755.46,Hubie Jopke,$368.23,Peru,75568,112-782-6424,$844.69,963,11.7,22,8113
45,Annissa,Wiper,awiper18@simplemachines.org,11/14/2024,$72.10,Annissa Wiper,$129.39,China,58017,300-959-7972,$678.64,557,9.3,37,9740
46,Silvio,Peirce,speirce19@google.com,7/9/2024,$921.81,Silvio Peirce,$160.18,Brazil,67586,520-860-3498,$534.22,748,3.6,57,7141
47,Helena,Petriello,hpetriello1a@comsenz.com,7/18/2024,$746.05,Helena Petriello,$728.01,Honduras,21005,473-126-2614,$766.32,571,9.2,38,7396
48,Myrle,Slatter,mslatter1b@mayoclinic.com,4/20/2024,$312.65,Myrle Slatter,$240.11,China,34961,893-422-9076,$950.95,601,6.9,63,4499
49,Rianon,Howard,rhoward1c@ifeng.com,5/4/2024,$52.08,Rianon Howard,$504.97,Sweden,52394,858-278-5388,$491.42,939,12.4,57,3667
50,Jessie,Foulser,jfoulser1d@unesco.org,3/9/2024,$300.25,Jessie Foulser,$300.90,Cape Verde,41038,868-278-0543,$245.37,866,5.1,28,4467
